"cat01_code","男女別人口総数及び世帯総数","cat02_code","秘匿地域・合算地域有り","area_code","新潟県","unit","value"
"0010","人口総数","1","無し","151020100","新潟市東区海老ケ瀬","人","1045"
"0010","人口総数","1","無し","151020110","新潟市東区江口","人","0"
"0010","人口総数","1","無し","151020120","新潟市東区大形本町","人","0"
"0010","人口総数","1","無し","151020130","新潟市東区大形本町","人","3794"
"0010","人口総数","1","無し","15102013001","新潟市東区大形本町１丁目","人","753"
"0010","人口総数","1","無し","15102013002","新潟市東区大形本町２丁目","人","762"
"0010","人口総数","1","無し","15102013003","新潟市東区大形本町３丁目","人","522"
"0010","人口総数","1","無し","15102013004","新潟市東区大形本町４丁目","人","366"
"0010","人口総数","1","無し","15102013005","新潟市東区大形本町５丁目","人","562"
"0010","人口総数","1","無し","15102013006","新潟市東区大形本町６丁目","人","829"
"0010","人口総数","1","無し","151020140","新潟市東区逢谷内","人","1"
"0010","人口総数","1","無し","151020150","新潟市東区逢谷内","人","2647"
"0010","人口総数","1","無し","15102015001","新潟市東区逢谷内１丁目","人","667"
"0010","人口総数","1","無し","15102015002","新潟市東区逢谷内２丁目","人","461"
"0010","人口総数","1","無し","15102015003","新潟市東区逢谷内３丁目","人","413"
"0010","人口総数","1","無し","15102015004","新潟市東区逢谷内４丁目","人","283"
"0010","人口総数","1","無し","15102015005","新潟市東区逢谷内５丁目","人","525"
"0010","人口総数","1","無し","15102015006","新潟市東区逢谷内６丁目","人","298"
"0010","人口総数","1","無し","151020160","新潟市東区岡山","人","918"
"0010","人口総数","1","無し","151020170","新潟市東区卸新町","人","0"
"0010","人口総数","1","無し","15102017001","新潟市東区卸新町１丁目","人","0"
"0010","人口総数","1","無し","15102017002","新潟市東区卸新町２丁目","人","0"
"0010","人口総数","1","無し","15102017003","新潟市東区卸新町３丁目","人","0"
"0010","人口総数","1","無し","151020180","新潟市東区王瀬新町","人","0"
"0010","人口総数","1","無し","151020190","新潟市東区大山","人","1351"
"0010","人口総数","1","無し","15102019001","新潟市東区大山１丁目","人","636"
"0010","人口総数","1","無し","15102019002","新潟市東区大山２丁目","人","715"
"0010","人口総数","1","無し","151020200","新潟市東区鴎島町","人","0"
"0010","人口総数","1","無し","151020210","新潟市東区上木戸","人","8"
"0010","人口総数","1","無し","151020220","新潟市東区上王瀬町","人","5"
"0010","人口総数","1","無し","151020230","新潟市東区北葉町","人","525"
"0010","人口総数","1","無し","151020240","新潟市東区下場","人","224"
"0010","人口総数","1","無し","151020250","新潟市東区下場新町","人","713"
"0010","人口総数","1","無し","151020260","新潟市東区下場本町","人","499"
"0010","人口総数","1","無し","151020270","新潟市東区河渡","人","748"
"0010","人口総数","1","無し","151020280","新潟市東区河渡","人","2477"
"0010","人口総数","1","無し","15102028001","新潟市東区河渡１丁目","人","978"
"0010","人口総数","1","無し","15102028002","新潟市東区河渡２丁目","人","801"
"0010","人口総数","1","無し","15102028003","新潟市東区河渡３丁目","人","698"
"0010","人口総数","1","無し","151020290","新潟市東区河渡新町","人","864"
"0010","人口総数","1","無し","15102029001","新潟市東区河渡新町１丁目","人","488"
"0010","人口総数","1","無し","15102029002","新潟市東区河渡新町２丁目","人","376"
"0010","人口総数","1","無し","151020300","新潟市東区河渡本町","人","788"
"0010","人口総数","1","無し","151020310","新潟市東区小金町","人","1223"
"0010","人口総数","1","無し","15102031001","新潟市東区小金町１丁目","人","586"
"0010","人口総数","1","無し","15102031002","新潟市東区小金町２丁目","人","198"
"0010","人口総数","1","無し","15102031003","新潟市東区小金町３丁目","人","439"
"0010","人口総数","1","無し","151020320","新潟市東区小金台","人","943"
"0010","人口総数","1","無し","151020330","新潟市東区向陽","人","1900"
"0010","人口総数","1","無し","15102033001","新潟市東区向陽１丁目","人","768"
"0010","人口総数","1","無し","15102033002","新潟市東区向陽２丁目","人","537"
"0010","人口総数","1","無し","15102033003","新潟市東区向陽３丁目","人","595"
"0010","人口総数","1","無し","151020340","新潟市東区幸栄","人","2343"
"0010","人口総数","1","無し","15102034001","新潟市東区幸栄１丁目","人","856"
"0010","人口総数","1","無し","15102034002","新潟市東区幸栄２丁目","人","757"
"0010","人口総数","1","無し","15102034003","新潟市東区幸栄３丁目","人","730"
"0010","人口総数","1","無し","151020350","新潟市東区江南","人","2169"
"0010","人口総数","1","無し","15102035001","新潟市東区江南１丁目","人","462"
"0010","人口総数","1","無し","15102035002","新潟市東区江南２丁目","人","464"
"0010","人口総数","1","無し","15102035003","新潟市東区江南３丁目","人","401"
"0010","人口総数","1","無し","15102035004","新潟市東区江南４丁目","人","283"
"0010","人口総数","1","無し","15102035005","新潟市東区江南５丁目","人","222"
"0010","人口総数","1","無し","15102035006","新潟市東区江南６丁目","人","337"
